Tool Name,Tool Category,Tool URL,Contributor,Experience,Abstract Name,Link to Abstract,
Voyant,Text Analysis,https://voyant-tools.org/,"	yoonsuh3",None,"Remapping Leigh Hunt's Circles"": Voyant Tools and Hunt's Dramatic Criticism",https://dh-abstracts.library.virginia.edu/works/2621,
Gephi,Network Analysis & Visualization ,https://gephi.org/,rubylm2,None,Preliminaries: The Social Networks of Literary Production in the Spanish Empire During the Administration of the Duke of Lerma (1598-1618),https://dh-abstracts.library.virginia.edu/works/1762,
Scalar,Scholarly Publishing,http://scalar.usc.edu/scalar,eewatkins,Yes,Access to DH Pedagogy as the Norm: Introducing Students to DH Methods Across the Curriculum and at a Distance,https://dh-abstracts.library.virginia.edu/works/3879,
Voyant,Text Analysis,https://voyant-tools.org/,RebeccaThurber,None,"Web Services for Voyant: LINCS, Voyant and NSSI: LINCS, Voyant and NSSI",https://dh-abstracts.library.virginia.edu/works/11736,
WordPress,Web Content Management,https://wordpress.com/home/tenweeks716798793.wordpress.com,pptorchia,None,"WordPress as a framework for automated data capture, filtering and structuring processes. The new order of the authors",https://dh-abstracts.library.virginia.edu/works/2822,
Scholarly 3D toolkit,3D Modeling,https://digitalhumanities101.wordpress.com/2014/10/22/connecting-digital-humanities-data-with-the-scholarly-3d-toolkit/,"	SK-143381",None,"The Scholarly 3D Toolkit: Annotation, Publication, and Analysis of 3D Scenes alongside Imported Humanities Data",https://dh-abstracts.library.virginia.edu/works/2111,
Palladio,Network Analysis,http://hdlab.stanford.edu/palladio/about/,rschneider98,None,Mapping the Republic of Letters project,http://republicofletters.stanford.edu/,
Srophé App ,Digital Database,https://srophe.app/,inyoung-j,None,A code for Murakami’s Tokyo: spatial diversity analyzed by digital means,https://dh-abstracts.library.virginia.edu/works/11970,
Google Books,Digital Database,https://books.google.com/,Amoura23,Yes,Negentropic linguistic evolution: A comparison of seven languages,https://dh-abstracts.library.virginia.edu/works/6286,
Neatline,Mapping,https://neatline.org/,Sanchita Kamath,None,Enduring Traces: Exploring correspondence from the archives of Canadian modernism using digital tools and methods,https://dh-abstracts.library.virginia.edu/works/1932,
Zotero,Citation Manager,https://www.zotero.org/,AbigailMBarrett,Yes,SEASR integrates with Zotero to Provide Analytical Environment for Mashing up Other Analytical Tools,https://dh-abstracts.library.virginia.edu/works/1066,
TEI ,Encoding,https://tei-c.org/,aali32991,None,Early Modern Songscapes,https://mith.umd.edu/research/early-modern-soundscapes/,
X,Social Media Analysis,twitter.com,ap0110ck,Yes,"Project Twitter Literature: Scraping, Analyzing, and Archiving Twitter Data in Literary Research",https://dh-abstracts.library.virginia.edu/works/9425,
Drupal,Management,https://www.drupal.org/,"	isabellescheng",Yes,"Bibliopedia, Linked Open Data, and the Web of Scholarly Citations",https://dh-abstracts.library.virginia.edu/works/1610,
Archiviz,Management & Visualization,https://omeka.org/classic/plugins/Archiviz/,valarbonies,None,"""Archiviz: ""A Tool for the Interactive, Visual Exploration of Digital Archives",https://dh-abstracts.library.virginia.edu/works/11719,
StoryMap.JS,Mapping,https://storymap.knightlab.com/,kfata2,Yes,Southern Literary Trail,https://www.georgiahumanities.org/southern-literary-trail-story-map/,
