name,pricing/rate/amount,address,location/lat,location/lng,url
Aquatika (Best Spot),21200,"Loíza, Puerto Rico",18.43,-65.84,https://www.airbnb.com/rooms/235901
"Villa Tuscany All inclusive/Chef, maid, golf carts",6700,"Río Grande, Puerto Rico",18.38824,-65.75599,https://www.airbnb.com/rooms/39420514
Casa Hermosa | Ocean-Front Mansion,7057,"Río Grande, Puerto Rico",18.4101,-65.82522,https://www.airbnb.com/rooms/47122809
Entire Mansion at St. Regis Bahia Beach Resort,10000,"Río Grande, Puerto Rico",18.40765,-65.81258,https://www.airbnb.com/rooms/49754606
West Beach Ground Floor Residence - Ritz Managed,3775,"Dorado, Puerto Rico",18.47371,-66.30577,https://www.airbnb.com/rooms/52770552
Romantic Balcony with Colonial City Views,4407,"San Juan, Puerto Rico",18.46633,-66.11427,https://www.airbnb.com/rooms/6975867
Elokut,5791,"San Juan, Puerto Rico",18.46604,-66.10086,https://www.airbnb.com/rooms/54384311
11 Suite Family Escape with a great Pool !,4834,"Luquillo, Puerto Rico",18.365,-65.762,https://www.airbnb.com/rooms/45532850
Enticing Pleasure Villa in an Exclusive Community,5278,"Dorado, Puerto Rico",18.46461,-66.29894,https://www.airbnb.com/rooms/44054319
Classic Colonial Room with Comfy King Bed,5779,"San Juan, Puerto Rico",18.46618,-66.11394,https://www.airbnb.com/rooms/45765416
Hacienda Tres Casitas #1 or #2 Private Balcony,4342,"Cabo Rojo, Puerto Rico",18.07906,-67.1056,https://www.airbnb.com/rooms/45738628
VIlla Tuscany Mansion /10 bedroom/ Wyndham Resort,4129,"Río Grande, Puerto Rico",18.38875,-65.75366,https://www.airbnb.com/rooms/2302261
New Luxury Beachfront Home in 5 Diamond Resort,3307,"Río Grande, Puerto Rico",18.41103,-65.82652,https://www.airbnb.com/rooms/53687995
High End Beachfront House,2500,"Dorado, Puerto Rico",18.47489,-66.3124,https://www.airbnb.com/rooms/7934560
Villa Allande at Dorado Beach Resort,1650,"Dorado, Puerto Rico",18.46622,-66.28688,https://www.airbnb.com/rooms/34506764
San Sebastián St apt for rent; 3 months min,2643,"San Juan, Puerto Rico",18.46744,-66.11631,https://www.airbnb.com/rooms/43602806
Entire Nomada Urban Beach Hostel(Groups up to 28),1600,"San Juan, Puerto Rico",18.45,-66.052,https://www.airbnb.com/rooms/20419930
Casa Granadillo Luxury Villa,850,"San Juan, Puerto Rico",18.23813,-66.03575,https://www.airbnb.com/rooms/24855335
